"CASE"	"SERIAL"	"REF"	"QUESTNNR"	"MODE"	"STARTED"	"GEN"	"AGE"	"KV_A1"	"KV_A2"	"KV_A3"	"KV_A4"	"KV_B1"	"KV_B2"	"GE05_CP"	"ORDER"	"AV_A"	"AV_B"	"TIME001"	"TIME002"	"TIME003"	"TIME004"	"TIME005"	"TIME006"	"TIME007"	"TIME_SUM"	"MAILSENT"	"LASTDATA"	"FINISHED"	"Q_VIEWER"	"LASTPAGE"	"MAXPAGE"	"MISSING"	"MISSREL"	"TIME_RSI"	"DEG_TIME"
72			"base"	"interview"	2020-06-08 09:21:35			-9	-9	-9	-9			0	1			2	7	3					12		2020-06-08 09:21:47	F	F	3	3	100	100	3	341
74			"base"	"interview"	2020-06-08 09:41:28	1	20	1	2	1	2	5	5	0	4	200	"02:00"	7	93	18	30	25	10	12	195		2020-06-08 09:44:43	T	F	7	7	0	0	1.29	19
75			"base"	"interview"	2020-06-08 09:43:25	1	20	2	2	5	5	2	4	0	3	50	"02:00"	8	39	11	17	16	9	18	118		2020-06-08 09:45:23	T	F	7	7	0	0	1.65	33
79			"base"	"interview"	2020-06-08 09:53:33	1	19	2	2	5	4	3	4	0	2	70	"02:00"	10	107	24	46	10	8	11	216		2020-06-08 09:57:09	T	F	7	7	0	0	1.31	19
80			"base"	"interview"	2020-06-08 09:54:01	1	20	1	2	5	5	4	5	0	2	5	"00:06"	4	41	25	60	21	13	11	175		2020-06-08 09:56:56	T	F	7	7	0	0	1.39	28
81			"base"	"interview"	2020-06-08 10:09:40									0	1			11	7						18		2020-06-08 10:09:58	F	F	2	2	100	100	2.16	179
82			"base"	"interview"	2020-06-08 10:10:46	1	54	1	2	5	5	3	4	0	1	800	"03:00"	45	41	43	62	34	13	32	270		2020-06-08 10:15:16	T	F	7	7	0	0	0.7	2
90			"base"	"interview"	2020-06-08 10:24:04	2	21	2	1	3	5	4	5	1	3	60	"01:30"	43	42	13	31	14	7	65	171		2020-06-08 10:27:39	T	F	7	7	0	0	1.16	18
91			"base"	"interview"	2020-06-08 10:25:37	2	21	1	2	4	5	2	3	1	3	52	"03:02"	54	49	13	34	15	5	32	202		2020-06-08 10:28:59	T	F	7	7	0	0	1.21	18
98			"base"	"interview"	2020-06-08 10:30:34									1	4		":2002"	19	109						128		2020-06-08 10:32:42	F	F	2	2	100	100	0.63	0
99			"base"	"interview"	2020-06-08 10:30:50	2	18	2	1	3	4	4	3	1	4	100	"04:00"	28	92	45	77	47	7	11	307		2020-06-08 10:35:57	T	F	7	7	0	0	0.84	9
100			"base"	"interview"	2020-06-08 10:30:58	3	26	2	2	3	5	1	4	1	4	500	"03:00"	52	39	7	16	24	8	13	159		2020-06-08 10:33:37	T	F	7	7	0	0	1.58	39
101			"base"	"interview"	2020-06-08 10:31:47	2	19	1	2	1	5	3	3	1	1	150	"04:00"	3	7	22	33	15	9	22	111		2020-06-08 10:33:38	T	F	7	7	0	0	1.69	83
104			"base"	"interview"	2020-06-08 10:33:04							4	4	1	4	1	"03:22"	8	49	44	27				128		2020-06-08 10:35:12	F	F	4	4	0	0	1.27	19
109			"base"	"interview"	2020-06-08 10:39:54	2	25	1	2	4	5	4	4	2	2	200	"02:00"	19	42	20	39	10	8	15	153		2020-06-08 10:42:27	T	F	7	7	0	0	1.31	17
118			"base"	"interview"	2020-06-08 10:46:37	2	28	1	2	3	5	2	3	2	1	100	"02:00"	15	28	26	49	20	7	18	163		2020-06-08 10:49:20	T	F	7	7	0	0	1.19	11
120			"base"	"interview"	2020-06-08 10:50:43	2	20	1	2	2	5	4	4	3	2	2500	"01:00"	57	80	28	112	30	10	33	350		2020-06-08 10:56:33	T	F	7	7	0	0	0.64	0
130			"base"	"interview"	2020-06-08 10:58:21	2	22	1	2	2	5	3	5	3	3	100	"03:00"	10	65	24	14	23	8	13	157		2020-06-08 11:00:58	T	F	7	7	0	0	1.43	24
132			"base"	"interview"	2020-06-08 11:01:05	2	20	1	2	1	5	2	5	3	1	500	"02:30"	4	49	15	58	12	6	12	156		2020-06-08 11:03:41	T	F	7	7	0	0	1.66	39
133			"base"	"interview"	2020-06-08 11:09:47	1	21	2	2	4	1	1	5	3	4	707	"05011"	19	100	15	43	19	7	26	229		2020-06-08 11:13:37	T	F	7	7	10	9	1.03	8
134			"base"	"interview"	2020-06-08 11:11:58							3	4	3	4		"04:00"	7	50	21	39				117		2020-06-08 11:13:55	F	F	4	4	25	25	1.37	18
135			"base"	"interview"	2020-06-08 11:13:08	1	20	1	2	2	5	1	4	3	4	25250	"03:20"	3	16	45	47	58	7	32	208		2020-06-08 11:16:36	T	F	7	7	0	0	1.4	47
136			"base"	"interview"	2020-06-08 11:14:45	1	20	1	2	1	5	3	2	4	1	300	"02:30"	8	24	19	37	16	6	24	134		2020-06-08 11:16:59	T	F	7	7	0	0	1.48	25
137			"base"	"interview"	2020-06-08 11:15:15	1	20	1	2	4	5	2	4	4	3	400	"02:30"	4	49	15	30	21	9	20	148		2020-06-08 11:17:43	T	F	7	7	0	0	1.47	28
139			"base"	"interview"	2020-06-08 11:18:21	1	30	1	2	3	5	2	4	4	2	100	"02:00"	10	45	22	31	17	10	22	157		2020-06-08 11:20:58	T	F	7	7	0	0	1.19	11
140			"base"	"interview"	2020-06-08 11:18:30	1	18	2	2	2	5	2	4	4	2	20	"03:00"	3	16	21	35	13	7	16	111		2020-06-08 11:20:21	T	F	7	7	0	0	1.82	57
141			"base"	"interview"	2020-06-08 11:19:23	1	20	1	2	5	5	4	3	4	2	500	"03:30"	35	224	184	48	18	10	35	226		2020-06-08 11:28:38	T	F	7	7	0	0	0.63	2
143			"base"	"interview"	2020-06-08 11:24:37	2	20	1	2	5	4	4	4	5	3	200	"02:30"	4	46	21	38	27	8	20	164		2020-06-08 11:27:21	T	F	7	7	0	0	1.36	24
144			"base"	"interview"	2020-06-08 11:24:48	1	20	1	2	3	4	1	5	5	3	400	"03:00"	34	129	84	70	109	11	35	326		2020-06-08 11:32:40	T	F	7	7	0	0	0.48	0
